compound,positive,neutral,negative,Date,tweets_ago,tweet,news source
0.0,0.0,1.0,0.0,Sun Jul 22 08:03:01 +0000 2018,75,"🍞 Prehistoric bake-off: Scientists have discovered the earliest known evidence of bread-making, from a 14,000-year-… https://t.co/rt2YVZY1zW",BBC
0.7506,0.274,0.726,0.0,Sun Jul 22 10:04:05 +0000 2018,74,💕✍️ A story penned by a 10-year-old girl with autism has attracted praise from academics and others with the condit… https://t.co/oFp5UI36Ex,BBC
0.5994,0.353,0.647,0.0,Sun Jul 22 11:02:05 +0000 2018,73,"The teenage activist helping families find low-cost healthy food. 
(via@BBCThree) https://t.co/aM3Esv544f",BBC
0.7506,0.314,0.686,0.0,Sun Jul 22 12:09:04 +0000 2018,72,"Positive reinforcement and indirect suggestions are a powerful way to influence our decision-making.

Here are eigh… https://t.co/CyoIKBRDfs",BBC
0.0,0.0,1.0,0.0,Sun Jul 22 13:06:02 +0000 2018,71,🐜🍞 Would you eat bread baked with insects instead of flour? https://t.co/zXYGP4MZjk,BBC
0.7264,0.289,0.711,0.0,Sun Jul 22 14:08:06 +0000 2018,70,"😲🎨 Some of the most stunning photos from the 21st World Bodypainting Festival in Austria.
👉 https://t.co/2Z8On4ZuS3 https://t.co/YoAPvfk5cE",BBC
-0.2732,0.0,0.884,0.116,Sun Jul 22 15:04:05 +0000 2018,69,"Keeping it low key 😉

This man asked his partner to marry him with a GIANT beach mural. 🏖 
https://t.co/FrqoNA4HhG",BBC
-0.8402,0.0,0.714,0.286,Sun Jul 22 16:04:04 +0000 2018,68,"❤️ The mother of a five-year-old boy who helped write his own obituary before he died of cancer says she is ""humble… https://t.co/k1R3Tq8KX5",BBC
0.128,0.073,0.927,0.0,Sun Jul 22 18:05:05 +0000 2018,67,"See some art
Dwell on your wrongs
Talk to strangers

Tackle the week ahead with a spot of elastic thinking. https://t.co/W3gtqBFnss",BBC
0.5994,0.262,0.738,0.0,Sun Jul 22 19:02:05 +0000 2018,66,❤️ The catwalk show with a mission to prove everyone is beautiful. https://t.co/sGAR4YzNZT,BBC
0.0,0.0,1.0,0.0,Mon Jul 23 07:03:07 +0000 2018,65,"✈️🎒 This is what happens to your suitcase after you've checked-in at an airport... 

https://t.co/SZZKKm6ONf",BBC
-0.5267,0.0,0.866,0.134,Mon Jul 23 07:32:03 +0000 2018,64,"The UK government says air pollution is the fourth biggest threat to public health. 🤧💨

Here's what you can do to i… https://t.co/SVbU4D7961",BBC
0.4767,0.114,0.886,0.0,Mon Jul 23 08:03:02 +0000 2018,63,"Ntando Mahlangu walked for the first time at the age of ten. 

By the time he was 14, he had a silver medal from Ri… https://t.co/JodVvKpqUw",BBC
-0.38,0.177,0.549,0.274,Mon Jul 23 11:03:09 +0000 2018,62,When is a film so bad it's actually good? 🍿🤦‍♀️ https://t.co/zNWeEnZVQd https://t.co/F3rLExxpyR,BBC
0.6369,0.318,0.682,0.0,Mon Jul 23 12:02:03 +0000 2018,61,"Y'alright love? 🐦 

Meet Mourdour, the raven with a Yorkshire accent.... 

https://t.co/6K9eMeDh0k",BBC
0.0,0.111,0.779,0.111,Mon Jul 23 13:02:00 +0000 2018,60,"If you're blind or partially sighted, this might help.
 
At the BBC, we offer audio description to describe our sho… https://t.co/jDXcSK72uQ",BBC
0.4939,0.39,0.61,0.0,Mon Jul 23 16:03:04 +0000 2018,59,🐶 Hearing dogs can save a life. https://t.co/bTcvuvGYJt,BBC
0.0,0.0,1.0,0.0,Mon Jul 23 17:31:04 +0000 2018,58,"Follow the transportation of a herd of elephants from the Midlands to their new seaside home. 🐘

Elephants on the M… https://t.co/nvfAlmyl21",BBC
0.0,0.0,1.0,0.0,Mon Jul 23 18:02:06 +0000 2018,57,"💈❤️ Meet the barber tackling mental health one beard trim at a time.
(via @BBCThree) https://t.co/sTbcQnZ2ck",BBC
